,Unnamed: 0,years,patent_abstract,patent_id
33120,168373,1980s,A loop guide has a plurality of transversely spaced loop guide comb teeth for guiding loops of thermoplastic resin therealong into contact with cutter blades of an ultrasonically vibratable cutter to cut off only one of two legs of each loop. The other legs that remain unsevered serve as hooks on a hook-and-loop fastener.,4548116
33132,558570,1980s,"A method and apparatus for the forming of cross-laminated thermoplastic film, particularly from a supply roll of a layflat, highly melt-oriented tubular thermoplastic film. The layflat tubular film is advanced while concurrently being rotated about its longitudinal axis to thereby generate a compound linear and rotary motion, inflated and slit by a heated wire or laser beam on a bias to provide at least two layers of film strips which are adapted to be superimposed and laminated with the orientation of one layer being biased relative to the other layer so as to provide a cross-laminated thermoplastic film evidencing high strength in both the machine direction and the transverse direction of the film web.",4439260
33168,197804,1980s,"A method and apparatus are provided permitting shifting from rolling a thermoplastic web upon one roll to rolling the thermoplastic web upon another roll by overlapping the web connected to one roll and the web connected to the other roll, severing the overlapped webs, and forming a seam between the overlapping ends of the webs.",4201620
33192,274740,1980s,"A fluid jet assisted method for charging a receptor surface to a predetermined voltage includes the steps of generating ions in a chamber, entraining the ions in a rapidly moving fluid stream passing into, through and out of the chamber, depositing the ions on a charge receptor and biasing the back of the charge receptor with a bias equal to and of opposite potential of said predetermined voltage desired on the receptor surface. Both the ion generator and the receptor can be stationary for charging receptor plates or the like, or the receptor could be a moving belt or the like.",4762997
33204,81207,1980s,Multiple downhole seismic signals are generated by an apparatus comprising one or more elongated rod segments insertable in a borehole and provide with spaced-apart predetermined lengths of Primacord explosive charge helically wrapped on the exterior of the rod segment and spaced apart by circumferential baffles supported on the rod segment. The charges are selectively fired through a motor actuated selector switch and a switch stepping and firing circuit including only two conductors and blocking diodes for imposing signals of opposite polarity on the selector switch and its actuating motor.,4793435
33250,529018,1980s,"A drug dispensing apparatus includes a drug dispensing unit and a control unit. The apparatus dispenses an individual drug dose or doses to a common collection area from one or more drug dispensing cartridges for packaging. The drug dispensing unit of the apparatus is internally provided with a plurality of shelves, each arranged one upon another. A plurality of drug dispensing cartridges are removably disposed side by side on each of the shelves. Each drug dispensing cartridge accommodates a plurality of individual identical drug doses. Each dosage is discharged from the cartridge, one at a time, through rotation of rotary members in compliance with input information from the control unit.",4664289
33267,559504,1980s,"A packaging tray and, more particularly a high-strength, reinforced molded food packaging tray for use in packaging meats, fish, poultry and other comestibles which is adapted to be utilized in conjunction with a transparent overwrap film. The inventive packaging tray is provided with a novel peripheral lip structure which will aid in preventing the collapse or fracture of the tray sidewalls in view of pressures exerted by the overwrap film when applied to the tray in an automatic tray overwrap machine. In a particularly preferred embodiment of the invention, the packaging tray is provided with a novel tray bottom wall incorporating a reinforcing structure in the form of one or more strengthening ribs which are integrated in the bottom wall of the tray.",4623088
33273,356772,1980s,"A low-melting fat, which has a solid fat index of less than 13 at 80.degree. F., and which is essentially completely liquid at about 100.degree. F., is added to cookie dough containing flavor particles, such as chocolate chips, raisins, cherries or berries, in such an amount that the low-melting fat comprises from 5 to 30 percent by weight of the total weight of fat and/or shortening in the dough. The low-melting fat reduces halo effects in the resulting cookie.",4722849
33277,81135,1980s,"Polymer alloys containing copolymers of methylmethacrylate/N-phenylmaleimide are disclosed. In one embodiment the polymer alloy is an alloy of methylmethacrylate/N-phenylmaleimide and styrene/maleic anhydride. In another embodiment, the polymer alloy is an alloy of methylmethacrylate/N-phenylmaleimide and styrene/maleic anhydride/N-phenylmaleimide.",4720525
33301,433198,1980s,"An apparatus in which sheets are separated and fed, in seriatim, from a stack with a flow of pressurized fluid being directed between the stack and support thereof. The pressurized fluid produces a gap between the stack and support which is detected. The pressure of the fluid is controlled in response to the detected gap.",4397459
33339,559980,1980s,"Polymer blends comprising a continuous matrix phase of thermoplastic polymer with a discontinuous phase of thermoplastic polymer distributed through it are produced by extruding a blend of immiscible thermoplastic polymers through an annular extrusion die which subjects the polymer blend to transverse shear forces prior to passing through the die lips. The application of the shear forces to the polymer blends produces improved uniformity of distribution of the continuous phase within the matrix, producing better properties in the finished article which may be a blown film or a blow molded product. The continuous matrix phase is suitably a polyolefin such as polyethylene and the discontinuous phase may be selected to provide the desired properties in the extruded article, for example, vapor barrier properties, strength, stiffness, and tear resistance. Typical polymers for the discontinuous phase are polyamides, EVA copolymers, polyacrylonitrile, polystyrene and various copolymers. The annular extrusion die which is used has an annular flow passage between two relatively moving walls in which the resin blend is subjected to the shear forces which promote the distribution of the continuous phase in the matrix.",4770837
33352,434146,1980s,"The present invention is concerned with bit map data and methods of conveying bit map data into and out of a band buffer and shift register to an image output terminal to provide either portrait or landscape printing during print time. In particular, for portrait printing; and 8 to 1 multiplexer selects one of 8 bits to send for each register scan. For landscape printing, the 8 bits are sent to a shift register and then all 8 bits are sent as part of the raster scan.",4703515
33361,395806,1980s,"The present invention is an operator replaceable cartridge which is used in an apparatus for binding together a plurality of sheets to form a bound booklet. The flow of adhesive stored in the chamber of the housing is regulated to control the distribution of the adhesive on an applicator blade. The applicator blade is mounted on the housing and is of the length at least equal to the length of the marginal region of the sheet. In operation, the applicator blade reciprocates into and out of contact with the marginal region of the sheet to form a line of adhesive thereon.",4707215
33364,213432,1980s,"Process and apparatus for firing a furnace using oxygen or oxygen-enriched air as the oxidant gas, comprising injection into the furnace of a plurality of oxidant jets, through nozzles, in a spaced relationship to a fuel jet, at a velocity sufficient to cause aspiration of furnace gases into the oxidant jets before the latter mix with the fuel jet, in amounts sufficient to lower flame temperature.",4541796
33378,273174,1980s,"A resonant circuit sine wave power supply in which the resonant circuit thereof is coupled to ground through alternately conducting complimentary emitter followers during the portions of the voltage generation cycle when the resonant circuit is not coupled to a dc supply, whereby a power supply that is substantially non-dissipative of heat is provided.",4286316
33410,395184,1980s,"An electrophotographic imaging system utilizing a member comprising at least one photoconductive layer and an overcoating layer comprising a film forming continuous phase comprising charge transport molecules and finely divided charge injection enabling particles dispersed in the continuous phase, the insulating overcoating layer being substantially transparent to activating radiation to which the photoconductive layer is sensitive and substantially electrically insulating at low electrical fields.",4515882
33430,80800,1980s,A single well method and apparatus for electrically applying heat and stimulating is comprised of a relatively lower surface area formation electrode and relatively high surface area overburden electrode extending downward into the borehole past low resistivity water zones. This long overburden electrode may be formed of nonmagnetic metal to reduce hysteresis losses in the electrode. This improved single well system causes most of power to be dissipated in the oil pay zone and thereby renders single well production economical.,4522262
33437,44848,1980s,"A fluid connection incorporating a metallic seal defined by a pair of cooperating, obliquely oriented sealing lips. The lips taper in thickness and are each carried by one of the connection elements to permit contact therebetween at their respective tips. A passageway from the main fluid conduit is provided to permit the fluid pressure to act against the sealing lips to urge them into tighter contact and thereby provide increased sealing force as the fluid pressure increases.",4421325
33448,273430,1980s,"The present invention is a sample data control system having (a) a charge control loop for eliminating photoreceptor dark discharge variations due to photoreceptor fatigue and aging to maintain a constant dark development potential, (b) an illumination control loop eliminating variations in the lamp irradiance to maintain a constant background potential, (c) a toner dispensing control loop regulating toner flow using a sensor approach directly sensing developed images to eliminate toner mass variations and (d) a bias control loop to maintain optimum density images on the photoreceptor in spite of changing humidity conditions. Two test targets, each having two test patches are selectively exposed in various combinations to provide test data in the photoreceptor image area for suitable sensing and control of the charge, illumination, toner dispensing, and bias control loops.",4348099
33482,352193,1980s,"A process for producing a tubular rubber product such as a rubber hose and a rubber coupling in which a polyamide resin and/or polyester resin layer is formed to the main body of a tubular rubber product. The resin layer is formed either by coating an organic solvent-soluble nylon to the surface of the main body of the tubular rubber product applied with the surface treatment of a halogenoid compound, or by polyamide resin or by polyester resin film having a softening point in the vulcanization temperature region and treated with an adhesive mainly comprising a resorcine-formaldehyde resin and a rubber latex or treated with an adhesive rubber mainly comprising a resorcine, a formaldehyde-forming substance and a vinylpyridine-butadiene-styrene copolymer rubber and then bonding under vulcanization onto the main body of the non-vulcanized tubular rubber product.",4657285
33496,137778,1980s,"A crystalline aluminosilicate having the following empirical formula: EQU xM.sub.2 O.yM'O.Al.sub.2 O.sub.3.zSiO.sub.2.nH.sub.2 O wherein M is an exchangeable cation selected from the group consisting of alkali metals, hydrogen and mixtures thereof, M' is an alkaline earth metal, x is between 0 and 1.5, y is between 0.2 and 40, z is between 12 and 3000 and n is between 0 and 40 and wherein x+y is 1.2 or more, said aluminosilicate having the X-ray diffraction lines of Table 1 of the specification. The crystalline aluminosilicate material is obtained by providing a reaction mixture containing water, a tetrapropylammonium compound and a source of an alkali metal oxide, an oxide of silicon, an oxide of aluminum and an oxide of an alkaline earth metal and having a composition falling within the following ranges: PA1 SiO.sub.2 /Al.sub.2 O.sub.3 molar ratio: 12-3000 PA1 OH.sup.- /SiO.sub.2 molar ratio: 0.02-10 PA1 H.sub.2 O/SiO.sub.2 molar ratio: 1-1000 PA1 tetrapropylammonium ion/SiO.sub.2 molar ratio: 0.02-2 PA1 alkaline earth metal/Al atomic ratio: 0.03-300, and maintaining the mixture at a temperature and for a period of time sufficient to form crystals of the aluminosilicate. The aluminosilicate is useful as catalyst for converting methanol and/or dimethyl ether into lower olefins.",4544793
33505,394458,1980s,"This invention is directed generally to a layered inorganic photoresponsive device, this device being comprised of a substrate, or supporting base, containing on its surface a layer of hole injecting material comprised of gold, a hole transport layer in operative contact with the hole injecting layer, the transport layer being comprised of a halogen doped selenium arsenic alloy, wherein the percentage of selenium present is from about 99.5 percent to about 99.9 percent, the percentage of arsenic present is from about 0.5 percent to 0.1 percent, the percentage of halogen present ranges from about 10 parts per million to 200 parts per million, followed by a charge generating material overcoated on the transport layer, this material being comprised of inorganic photoconductive substances, and as an optional layer a layer of insulating organic resin overlaying the charge generating layer. The transport and generating layers can also be comprised of one composite layer. This device, with the overcoating layer, is useful in systems employing a double charging sequence, that is, charging the photoresponsive device with a uniform layer of negative charges, followed by charging with a uniform layer of positive charges.",4297424
33519,273295,1980s,"A data communication system having a master unit, an interface, and one or more remote units. The master unit includes a programmable controller having a data processor, memory storage for storing programs and command and data bytes, and address and data buses. The interface is connected to the master unit via the address and data buses, and includes a memory connected to the data bus for temporarily storing command and output data bytes from the master unit pending transmittal thereof to the remote units and for storing input data bytes from the remote units pending transfer thereof to the master unit. A first communication path, along which command and data bytes from the interface memory are transmitted to the remote units, couples the interface with the remote units. A second communication path, along which input data bytes from the remote units to the interface memory are transmitted, couples the remote units with the interface.",4314334
33589,197912,1980s,A securable container and tray combination comprising an open top container; a tray; a first set of a plurality of camming means on a lower portion of the container; and a second set of a plurality of camming means attached to the tray; wherein said first and second sets of camming means are adapted such that when the container and the tray are placed in contact and twisted the camming means of the container and the camming means of the tray will slide one upon the other to cause a wedging action that secures the container and the tray.,4224764
33611,560203,1980s,"An improved process for reacting crude aqueous methanol feedstock with tertiary-olefinic hydrocarbons to produce C.sub.5.sup.+ methyl tertiary-alkyl ethers, which comprises: contacting the aqueous methanol feedstock with a liquid hydrocarbon extractant rich in C.sub.4.sup.+ isoalkylene under liquid extraction conditions; recovering an organic extract phase comprising the hydrocarbon extractant and a major amount of methanol introduced in the feedstock; reacting the extracted methanol and C.sub.4.sup.+ isoalkene in contact with an acid etherification catalyst under catalytic reaction conditions to produce ether product; separating ether product from unreacted methanol and olefin; recovering an aqueous methanol raffinate phase containing the major amount of water introduced with the feedstock and a minor amount of feedstock methanol; and converting methanol from the aqueous raffinate phase concurrently with unreacted methanol and olefin from etherification effluent separation to produce hydrocarbons.",4827046
33646,559668,1980s,"A process for preparing alpha-olefins is provided which comprises: PA1 (a) converting a feed containing one or more lower olefins in the presence of a medium pore crystalline silicate zeolite catalyst under reaction conditions providing a mixture of higher olefinic products; PA1 (b) contacting at least a part of the mixture of higher olefinic products resulting from step (a) with an alpha-olefin in the presence of a metathesis catalyst under olefin metathesis conditions to provide a mixture of alpha-olefins having a different carbon number than the feed olefin; PA1 (c) separating the alpha-olefin product of step (b) into at least two fractions, one fraction containing predominantly lower alpha-olefin hydrocarbons and the other fraction containing predominantly higher alpha-olefin hydrocarbons; and, PA1 (d) recycling at least a part of the lower alpha-olefin hydrocarbon fraction resulting from step (c) as feed for step (a).",4665245
33761,421591,1980s,"A method for separation of a liquid mixture wherein a component, intended to be separated, in the liquid mixture is concentrated in the interiors of particles having an average size of 0.1 to 10 .mu.m; the particles are then transported to the surface of a polymeric porous membrane having an average pore size 0.1 to 50 times the average size of the particles under an electrostatic field; and the particles are then separated by a pressure difference loaded on the membrane.",4717480
33762,212236,1980s,Scanning apparatus is provided for a movable array of highly focused collimators surrounding a scan field.,4195227
33793,199896,1980s,"A process for catalytic cracking using a catalyst obtained by preparing pillared interlayered clay materials comprises the steps of contacting a smectite containing material, preferably bentonite, with a solution comprising at least one of ammonium and alkali metal carboxylates and alkali metal carbonates and bicarbonates, plus preferably also alkali metal dithionite; separating the thus-contacted material from the solution; treating the separated material with a solution comprising a polymeric cationic hydroxy metal complex, preferably of aluminum (more preferably, polymeric hydroxy aluminum chloride); separating and finally heating the thus-treated smectite material. The pillared interlayered clay material of this invention can be intimately admixed with zeolite. The pillared interlayered clay material of this invention, with or without zeolite, can be used as catalyst for cracking hydrocarbon-containing oils.",4775461
33795,8655,1980s,"A digital data processing system has a memory organized into objects containing at least operands and instructions. Each object is identified by a unique and permanent identifier code which identifies the data processing system and the object. The system further uses multilevel microcode techniques for controlling sequences of microinstructions and for controlling the interval operations of the processor. The system uses a protection technique to prevent unauthorized access to objects by users who are identified by a subject number which identifies the user, a process of the system for executing a user's procedure, and the type of operation of the system to be performed by the user's procedure. An access control list for each object includes an access control list entry for each subject having access rights to the object and means for confirming that a particular active subject has access rights to a particular object before permitting access to the object. The system also includes stacks for containing information relating to the current state of execution of the system.",4498132
33811,65520,1980s,"A tire having excellent withstand-voltage property, wear resistance and resistance against heat build-up is disclosed. The tire has a tread, at least the contact area of the tread with road surface being made of a rubber composition containing a specifically limited softening agent and a specifically limited carbon black.",4252171
33816,274777,1980s,"A stripper finger mechanism is provided for separating record sheets from the surface of a roll member. In a preferred embodiment, a plurality of flexible stripper fingers are arranged so that the finger ends are angled against a fuser roller surface to effect initial separation of a fused copy sheet. The fingers have generally centrally located raised edges to provide a gradually sloping rigid support which lifts the fused copy sheet following initial separation.",4771310
33819,175674,1980s,A vapor compression distiller having a shell for enclosing a pair of heat exchange tube bundles each having one end connected to a steam chest and its other end connected to a condensate collecting chamber. A vapor compressor has its inlet connected to the shell and the outlet to one steam chest which is coupled to a second steam chest through a steam ejector for elevating the inlet pressure to the second heat exchange tube bundle. A half partition extends across the lower end of the vessel and between the wells to divide the lower portion of the vessel into two sections which are in communication across the upper end of the vessel. One well is connected to receive fresh feed liquid and the other includes a density sensor to discharge a portion of the concentrate to therein maintain a desired concentrate level and each well is connected to a spray nozzle manifold disposed in its respective shell section.,4259160
33821,275101,1980s,"A liquid crystal birefringent MTF filter is permanently positioned between lens and array of an image input scanner to reduce image modulation at frequencies where moire occurs, with a source of electric potential and a control switch for selectively applying the potential and switching the filter to or from a filtering state. In a variation of the first embodiment, a two-stage MTF filter is used. In a second embodiment, a tunable liquid crystal scattering MTF filter is combined with a full width sensor array.",4877310
33837,54429,1980s,Multimode optical fibers are described comprising a cylindrical core with a radius a.sub.o exhibiting an index of refraction n.sub.o surrounded by a cladding having an outer radius a in which the index of refraction varies continually from the core to the periphery from a value of n.sub.1 to a lower value n.sub.e. Between the core and cladding there is a step change .DELTA.n in their respective indices of refraction whose value is a function of the ratio a.sub.o /a. Such fibers have both slight attenuation and slight dispersion and can be manufactured using processes similar to those used in making step-index optical fibers.,4560247
33870,560425,1980s,"Disclosed herein is a process for removing contaminating mercury from hydrocarbon streams, gas or liquid, wherein the stream is contacted with a molecular sieve pretreated with an alkali polysulfide. The pretreatment consists of saturating the sieve with an aqueous solution of the polysulfide and subsequently drying the saturated sieve under conditions calculated to dry but not decompose the polysulfide present.",4877515
33906,198919,1980s,"A method and device for collecting solar energy comprising a sandwich composed essentially of two layers of solar ray transmitting material having disposed therebetween a black body or layer, e.g., paving grade asphalt, the sandwich being housed in a structure permitting flow of heat transfer or collecting medium over substantially the entire faces of the sandwich.",4453535
33965,348457,1980s,A playing piece propelling game device includes a generally dish-shaped open-topped playing surface divided into a plurality of compartments which are defined on the surface by a plurality of radially arranged upstanding walls on the surface. The surface further includes a generally horizontal peripheral flange. An upstanding receptacle is defined centrally on the playing surface for receiving one or more playing pieces in the form of discs. A manually actuable propelling apparatus is aligned with the receptacle and attached to the playing surface for propelling the playing pieces from the receptacle onto the playing surface. The propelling apparatus includes a U-shaped leaf spring with a pair of spaced apart downwardly directed arms upon which the playing surface is supported. The propelling means is arranged to propel the playing pieces upwardly in response to a downward actuation applied to the flange in a direction of flight determined by the manner and angle of application of the force to the flange.,4337949
33969,274948,1980s,An electrostatographic printing system is disclosed as having a sheet registration mechanism comprising rotating fingers arranged to intercept the leading edges of copy sheets and to register the same as they are being processed. The fingers are mounted in flexible joints so that they may be flexed out of operation in the event that extra large copy sheets are being processed.,4826148
33998,69293,1980s,,D289150
34085,213495,1980s,"Drilling fluids, both fresh and saline, containing additives and compositions, predominantly nonionic in nature, for the beneficiation of bentonite in such drilling slurries are described. The primary class of compounds employed are ethylene oxide derivatives, nonionic polysaccharides and under certain specified conditions anionic polysaccharides. In fresh water slurries polyethylene glycol derivatives of significantly different molecular weights are employed with nonionic polysaccharides for optimizing the rheological characteristics of bentonite slurries. The anionic polysaccharide can be deleted from the blend for economic reasons. In such formulations (i.e., a polyethylene glycol-nonionic polysaccharide blend) the molecular weight of the polyethylene glycol is important in obtaining low shear-rate yield stress characteristics in fresh water slurries, at elevated temperatures for maximum drill solids carrying capacity within the wellbore. The blend of beneficiating agents affects a decreasing yield stress character with decreasing temperature to permit drill solids removal at ambient surface conditions. In saline solutions polyethylene glycols of intermediate molecular weight (less than 30,000) and nonionic polysaccharides are effective in inhibiting syneresis (i.e., phase separation) and in providing good slurry rheological profiles at elevated temperatures. Anionic polysacchrides are utilized (particularly in saline solutions) to ensure the proper structuring of the bentonite wellbore filter cake for fluid loss control and to ensure optimum rheological characteristics of the slurry with the ternary blend of beneficiating agents at intermediate reservoir temperatures.",4561985
34092,274209,1980s,"To form an optical image, an imagewise pattern of conductivity is formed in a semiconductor material. Exposing the material to an intense radio-frequency field causes generation of heat in the conductive areas. The semiconductor is made of a heat-sensitive material or includes a heat-sensitive material. The heat-sensitive material responds to heat by physical changes which can be optically detected. Preferably the semiconductor is a photoconductor with surface charge capability retention which allows formation of a conductivity pattern by normal xerographic processes.",4583833
34098,273273,1980s,Improved lateral carrier and optical confinement is achieved in heterostructure diodes and lasers having a Fabry-Perot cavity transverse to the plane of the p-n junction of the device. Structural features during fabrication improve carrier confinement to the active region in the established optical cavity. Current confinement means is also fabricated above and below the active region to concentrate the current density to the active region in the optical cavity and thereby improve the overall gain of the device. Such confinement also enhances optical confinement along the cavity. Several reflector structures are disclosed for employment at the cavity ends to provide optical feedback.,4309670
34099,302497,1980s,"This invention relates to a head rest for a car, and more particularly to support means for supporting stays of the head rest. The means to support stays of the head rest comprises a sleeve secured to a seat back frame and a stay guide member having a resilient jaw provided at the lower end and a flange provided at the upper end and extending through the sleeve with the jaw and the flange engaged with the lower and upper ends of the sleeve. Each of the stays of the head rest is removably inserted into the stay guide member. The stay guide member also has a stopper engaged with the sleeve. The sleeve has an axial slit extending throughout the length of the sleeve to engage the stopper of the stay guide member.",4427233
34112,352221,1980s,"Tire information marks for denoting tire kind, tire size, etc. formed in a surface of side wall of tire as protrusion or groove having a triangular cross section are optically detected by illuminating the surface of side wall of tire from a first direction substantially perpendicular to the surface of side wall of tire and a second direction inclined with respect to the surface of side wall of tire, and picking up an image of the surface of side wall of tire thus illuminated from the two different directions to derive an image signal. The image signal thus derived is converted into a bivalent signal, and is thinned to produce a mark pattern. Then the mark pattern is compared with a thick standard mark pattern. When a substantial part of the detected mark pattern is included in the standard mark pattern, the detected mark pattern is recognized to be identical with the standard mark pattern.",4700078
34156,394161,1980s,A finely-divided toner composition comprising a thermoplastic vinyl resin and a surface active additive selected from the group consisting of fluorinated surfactants. The toner composition possesses controlled triboelectric charging properties while its other bulk properties remain unaffected. Developer compositions and electrostatographic imaging processes are also disclosed.,4198477
34165,84248,1980s,"A communications system including a central station and a plurality of remote stations, for example, a mobile telephone system, is disclosed in which communications channel establishing signalling transmissions between the central and remote stations are conducted in a clear (unenciphered) mode and subsequent voice transmissions between the central and remote stations are conducted in a secure (enciphered) mode. Each remote station has a unique code assigned thereto which is used by it to at least decipher incoming enciphered voice transmissions from the central station and by the central station to encipher outgoing voice transmissions to the remote station. The unique code may also be used by the remote station to encipher outgoing voice transmissions and by the central station to decipher incoming voice transmissions from the remote station. Alternatively all remote station outgoing voice transmissions may be enciphered with a code common to all remote stations which code is used by the central station for decipering incoming voice transmission. The central station can automatically, or in response to a specific request for secure service, switch its equipment to the secure mode upon completion of communications channel establishing signalling transmissions between it and a remote station and can control remote station switching to the secure mode by sending an enciphered voice transmission to the remote station which responds to receipt thereof by switching to the secure mode.",4411017
34167,84210,1980s,"In orthogonal mode transducers, typically a first rectangular waveguide capable of carrying a signal having a first polarization and a second rectangular waveguide capable of carrying a signal having a second polarization orthogonal to the first polarization are coupled to a common central waveguide which is capable of carrying signals having both the first and second polarizations. However, in the past, difficulties have been encountered in manufacturing such orthogonal mode transducers because of the necessity of matching these respective waveguides which do not have the same cross-sectional shape and which must be oriented in a particular manner relative to one another to achieve the desired result. To overcome this difficulty in manufacturing, the present invention couples the first and second rectangular waveguides to the central waveguide so that the longitudinal axes of the first and second rectangular waveguides are symmetrically arranged relative to the longitudinal axis of the central waveguide to form a symmetrical Y-configuration.",4366453
34189,394268,1980s,An apparatus which develops a latent image with magnetic particles. The apparatus includes a member having a multiplicity of magnetic fibers extending outwardly therefrom. At least a portion of the fibers have the free end regions thereof contacting the latent image. A magnet field attracts the particles to the member. Relative movement between the member and magnet field move the particles into contact with the latent image to form a substantially uniform particle image.,4240740
34195,197831,1980s,"A hydrocarbon cracking catalyst is treated with a crude antimony tris(O,O-dihydrocarbyl phosphorodithioate) to passivate thereon contaminating metals, e.g., vanadium, iron and/or nickel. Used or unused catalyst can be treated.",4207204
34226,394925,1980s,"A MESFET with a relatively short channel and small source-to-gate and drain-to-gate spacing for minimal series resistance and maximum frequency response having no alignments or critical steps. In particular, a mask is used to define schottky metal as ohmic metal from the source/drain areas across a relatively undoped bare substrate to within a predetermined distance L of the schottky gate wherein the predetermined distance is a non-critical electrical short-circuit as to the surface of the bare substrate. Thus the source-to-gate and drain-to-gate distances are non-critical because the predetermined distance L can be as critically controlled as the single mask that defines it.",4422087
34272,140720,1980s,"A mounting arrangement for mounting a windscreen or windshield glass is made of plastics or rubber material with an embedded metal carrier for mounting the arrangement on a flanged joint running around the window opening. The flexible material defines a ledge-shaped surface having a recess for receiving mastic. The mounting arrangement is delivered to the vehicle manufacturer with the mastic in position and covered by a thin flap. To facilitate entry of the window glass onto the ledge-shaped surface, a lip adjacent the ledge may be bent downwards into a slot. At the same time, the flap is pulled outwardly from under the distal edge of the window glass. Thereafter, the flap lies along the external peripheral edge of the window glass and the latter is secured in position by the mastic. A stiffening member is then placed in the slot. The arrangement provides substantially flush-mounting of the window glass, and no part of the flexible material or of the stiffening member extends further outwards of the window opening than the flap to any significant extent.",4562676
34275,273235,1980s,An automatic duplicating system in which computer fanfold documents are fed by an automatic handling apparatus having a tractor and drive mechanism for advancing the document across the platen of the processor for the system. An arrangement is provided which will control operation of the tractor and drive mechanism for job recovery in the event there is a malfunction in the operation of the system and in order to keep the integrity of the count of copies being made. Operator actuated programmer is provided to assist in making up the lost copies.,4299477
34282,171947,1980s,,D304739
34285,80816,1980s,"An improved solid carbon reductant comprising partially calcined carbonaceous materials such as petroleum coke, containing relatively low amounts of residual hydrocarbons and a relatively high surface area and thus increased activity as compared to known reductants is provided. This improved reductant is produced by a method comprising heating the carbonaceous material in an oxidizing atmosphere to a temperature of from about 650.degree. C. to about 950.degree. C., preferably from about 800.degree. C. to about 875.degree. C., and most preferably at a temperature about 850.degree. C. In addition, according to the present invention improved chlorination processes are provided using these reductants which result in reduced levels of chlorinated hydrocarbon (C.sub.x Cl.sub.y) production due to reduced residual hydrocarbons. In a preferred embodiment anhydrous aluminum chloride is produced by chlorination of aluminum hexahydrate using the improved reductant.",4529717
34349,8919,1980s,,D274277
34372,4867,1980s,"A static convertor for power transmission by means of high-voltage direct current has a current regulator which influences the control angle of the convertor in dependence on the deviation between a current order supplied to the convertor and the present direct current of the convertor. The current regulator has a proportional part and an integrating part. The output signal of the integrating part is limited in the upward direction to a value corresponding to a maximum value of the control angle of the convertor. The output signals from the integrating and proportional parts are added to form the output signal of the current regulator. The limiting value of the integrating part is calculated by a calculating circuit as a function of the current order and the ideal direct voltage of the convertor. The calculation is made by determining the control angle at which, at a load current equal to the current order, the extinction angle becomes equal to the smallest permissible turn-off angle. From this angle there is then subtracted the output of the proportional unit at a current equal to the current order, and the result constitutes the limiting value of the integrating part.",4563732
34387,559169,1980s,"This invention relates to a new and improved form of crystalline silicate identified as zeolite ZSM-12, to a new and useful improvement in synthesizing said crystalline silicate and to use of said crystalline silicate prepared in accordance herewith as a catalyst for organic compound, e.g. hydrocarbon compound, conversion. In the disclosed method for preparing zeolite ZSM-12, a benzyltriethylammonium compound is added to the synthesis reaction mixture.",4552738
34397,558537,1980s,Highly siliceous porous crystalline zeolite materials having a mole ratio of silica to alumina of at least 20 are metal-impregnated by contacting the zeolite with a solution (aqueous or inorganic) of a metal complex having a zero or uncommon low ion charge.,4431746
34428,212946,1980s,"A multilayer plastic film free of melt fracture suitable for use in packaging and making bags wherein the film comprises a core layer of low melt index, low pressure, low density polyethylene, and two outer layers of a high melt index, low pressure, low density polyethylene. The process of making the multilayer film is also disclosed.",4399173
34431,348412,1980s,A novelty toy in the shape of a skull includes a cranial shaped housing and a pivotal jaw portion. The jaw is biased to a closed position by a biasing element and includes a grip portion to be gripped by the user of the device to move the jaw to an open position. A depending handle is also defined on the skull to allow the skull to be supported by the user. A pair of lights are mounted in the eye apertures and reflectors are rotatably mounted within the apertures surrounding the lightbulbs. A gear train connects the reflectors to a manually operated gear to allow rotation of the reflectors within the housing. Each reflector includes a colored lens that may be rotated in front of the light to provide a different appearance to the toy. The lights are connected through a switch mounted within the housing to a portable power source. The switch includes a plurality of positions for producing alternate lighting or flashing effects.,4263743
34433,566436,1980s,Coal is oxidized by NO.sub.x in the presence of a liquid in which NO.sub.x is soluble. Oxidized sulfur species are removed by washing with water and dilute sulfuric acid. NO.sub.x is not consumed in the process and is recycled. More than 70% of sulfur in coal is removed.,4256464
34474,559305,1980s,"Zwitterionic Quaternary ammonium sulfates, and sulfonates are provided as new compounds and as highly effective additives to lubricants and liquid fuels. They have a variety of desirable effects, among them being their ability to reduce friction in an internal combustion engine, thereby reducing the amount of fuel consumed.",4581149
34498,8738,1980s,A data processing system in which the interface for connecting a host controller to a burst multiplexor channel comprises two sections one to handle the transfer of data and the other to handle the transfer of command and status information. The interface also includes logic to monitor the division of any transfer into bursts and logic to arbitrate for the two sections for any given burst.,4878173
34520,80797,1980s,"Preparation of bis-(alpha-alkylbenzyl)ethers or substituted derivatives thereof by reaction at elevated temperature of the corresponding alpha alkylbenzyl alcohols in the presence of an aluminum sulfate treated calcined alumina catalyst, quenching of the catalyst and recovery of the desired ether by distillation following separation of the quenched catalyst, is disclosed. The alkyl methylbenzyl alcohol may be present as a component of an aromatic rich distill and product mixture derived from the ethyl benzene hydroperoxide epoxidation of an olefinically unsaturated compound.",4521636
34548,414530,1980s,,D295876
